Date,Region,Product,Category,Units_Sold,Unit_Price_USD,Revenue_USD,Discount_Pct,Profit_USD,Customer_Rating
2024-01-16,Europe,Security Suite,Software,27,681.26,18394.02,0.0,6277.7,4.0
2024-01-16,Europe,Enterprise ERP,Software,42,281.99,11843.58,20.0,3163.34,4.0
2024-01-17,Latin America,Enterprise ERP,Software,28,837.26,23443.28,0.0,5646.77,4.0
2024-01-17,Latin America,Cloud Analytics,Subscription,16,151.05,2416.8,0.0,888.79,5.0
2024-01-18,Latin America,Enterprise ERP,Subscription,15,209.65,3144.75,10.0,894.51,4.0
2024-01-18,Asia Pacific,Enterprise ERP,Services,47,53.12,2496.64,5.0,761.12,4.0
2024-01-19,North America,Security Suite,Services,44,184.2,8104.8,5.0,4000.02,4.0
2024-01-19,North America,Security Suite,Subscription,3,594.14,1782.42,10.0,419.7,4.0
2024-01-20,North America,AI CoPilot,Software,37,747.02,27639.74,0.0,13016.38,4.0
2024-01-20,Middle East,Cloud Analytics,Subscription,7,963.43,6744.01,0.0,2935.83,4.0
2024-01-21,Asia Pacific,Enterprise ERP,Subscription,21,172.7,3626.7,5.0,1495.45,5.0
2024-01-21,Asia Pacific,Cloud Analytics,Subscription,9,1028.34,9255.06,15.0,3787.89,3.0
2024-01-22,North America,Data Connector,Subscription,39,907.87,35406.93,10.0,13517.37,3.0
2024-01-22,Latin America,Enterprise ERP,Software,18,519.8,9356.4,0.0,5516.79,4.0
2024-01-23,North America,Cloud Analytics,Subscription,4,1122.88,4491.52,5.0,2081.37,5.0
2024-01-23,North America,AI CoPilot,Subscription,25,1189.57,29739.25,0.0,12594.03,2.0
2024-01-24,Europe,AI CoPilot,Services,14,285.75,4000.5,0.0,2259.81,5.0
2024-01-24,Europe,Enterprise ERP,Software,9,486.11,4374.99,15.0,1684.86,4.0
2024-01-25,Europe,Data Connector,Software,26,1115.42,29000.92,0.0,8571.86,5.0
2024-01-25,Latin America,AI CoPilot,Software,2,879.84,1759.68,0.0,446.16,5.0
2024-01-26,North America,AI CoPilot,Subscription,20,105.31,2106.2,10.0,428.71,4.0
2024-01-26,Europe,Data Connector,Software,28,948.74,26564.72,10.0,14338.44,3.0
2024-01-27,Europe,Cloud Analytics,Software,47,1002.13,47100.11,10.0,21409.87,3.0
2024-01-27,North America,AI CoPilot,Services,7,913.08,6391.56,0.0,3954.39,3.0
2024-01-28,Latin America,Security Suite,Software,44,969.47,42656.68,0.0,19265.71,5.0
2024-01-28,Asia Pacific,AI CoPilot,Subscription,8,998.9,7991.2,0.0,3090.2,3.0
2024-01-29,Asia Pacific,Cloud Analytics,Software,47,264.37,12425.39,0.0,2234.81,4.0
2024-01-29,Latin America,Cloud Analytics,Subscription,35,321.05,11236.75,10.0,4913.15,4.0
2024-01-30,Asia Pacific,Enterprise ERP,Subscription,14,778.82,10903.48,15.0,4088.14,5.0
2024-01-30,North America,Security Suite,Services,17,1094.05,18598.85,15.0,10198.47,3.0
2024-01-31,Asia Pacific,Cloud Analytics,Services,36,413.63,14890.68,15.0,3412.09,1.0
2024-01-31,North America,Data Connector,Software,40,726.55,29062.0,5.0,11467.87,2.0
2024-02-01,North America,Security Suite,Software,4,835.43,3341.72,10.0,1430.02,5.0
2024-02-01,North America,Security Suite,Software,2,569.74,1139.48,5.0,511.26,4.0
2024-02-02,Asia Pacific,Data Connector,Subscription,6,870.85,5225.1,10.0,2025.16,3.0
2024-02-02,Asia Pacific,AI CoPilot,Services,42,1084.62,45554.04,5.0,23302.75,3.0
2024-02-03,North America,Data Connector,Software,4,767.72,3070.88,0.0,775.37,3.0
2024-02-03,Asia Pacific,Data Connector,Subscription,29,670.75,19451.75,5.0,9476.37,2.0
2024-02-04,Latin America,AI CoPilot,Software,18,554.56,9982.08,25.0,3442.82,5.0
2024-02-04,North America,AI CoPilot,Subscription,26,714.11,18566.86,0.0,11103.68,5.0
2024-02-05,North America,AI CoPilot,Services,44,458.67,20181.48,0.0,11576.04,4.0
2024-02-05,Asia Pacific,AI CoPilot,Software,34,500.2,17006.8,5.0,4969.3,5.0
2024-02-06,North America,AI CoPilot,Software,10,661.64,6616.4,15.0,1620.36,3.0
2024-02-06,Asia Pacific,Data Connector,Software,36,126.61,4557.96,10.0,2628.78,5.0
2024-02-07,North America,Enterprise ERP,Subscription,14,313.38,4387.32,10.0,1633.26,
2024-02-07,Europe,Enterprise ERP,Subscription,31,674.28,20902.68,0.0,12608.72,4.0
2024-02-08,Asia Pacific,Cloud Analytics,Software,48,546.26,26220.48,10.0,5473.43,5.0
2024-02-08,Asia Pacific,Enterprise ERP,Software,15,432.74,6491.1,5.0,2906.97,3.0
2024-02-09,Latin America,Enterprise ERP,Software,8,890.13,7121.04,15.0,3358.93,3.0
2024-02-09,Latin America,Data Connector,Subscription,14,847.78,11868.92,10.0,6662.36,2.0
2024-02-10,Asia Pacific,AI CoPilot,Subscription,23,241.74,5560.02,0.0,1771.81,4.0
2024-02-10,Asia Pacific,AI CoPilot,Software,40,1060.42,42416.8,0.0,21738.21,5.0
2024-02-11,North America,Data Connector,Subscription,21,619.74,13014.54,0.0,5458.38,5.0
2024-02-11,Europe,Enterprise ERP,Subscription,16,902.68,14442.88,5.0,2474.05,4.0
2024-02-12,North America,Data Connector,Software,45,709.12,31910.4,0.0,15795.64,5.0
2024-02-12,Latin America,Cloud Analytics,Software,18,1197.35,21552.3,10.0,9602.49,5.0
2024-02-13,North America,AI CoPilot,Subscription,47,915.26,43017.22,5.0,25145.21,3.0
2024-02-13,Europe,Security Suite,Services,24,863.03,20712.72,0.0,8257.25,4.0
2024-02-14,North America,Cloud Analytics,Software,26,945.36,24579.36,0.0,6516.61,2.0
2024-02-14,Asia Pacific,Cloud Analytics,Software,25,214.6,5365.0,0.0,924.29,4.0
2024-02-15,Latin America,Data Connector,Software,45,285.23,12835.35,20.0,3674.21,5.0
2024-02-15,Europe,Enterprise ERP,Subscription,41,871.17,35717.97,0.0,10749.62,3.0
2024-02-16,Latin America,AI CoPilot,Software,29,618.08,17924.32,10.0,8558.68,5.0
2024-02-16,North America,Security Suite,Software,15,917.83,13767.45,,3828.23,4.0
2024-02-17,Europe,Cloud Analytics,Subscription,45,168.35,7575.75,10.0,4258.19,4.0
2024-02-17,Latin America,Security Suite,Subscription,1,666.95,666.95,20.0,336.76,4.0
2024-02-18,North America,Enterprise ERP,Software,25,485.64,12141.0,5.0,5310.86,4.0
2024-02-18,Middle East,Enterprise ERP,Software,7,575.55,4028.85,25.0,1856.28,1.0
2024-02-19,North America,Security Suite,Subscription,9,744.55,6700.95,,3554.37,3.0
2024-02-19,North America,AI CoPilot,Software,24,627.63,15063.12,,6378.17,1.0
2024-02-20,Latin America,Enterprise ERP,Software,1,670.84,670.84,10.0,144.99,4.0
2024-02-20,North America,Security Suite,Services,44,609.31,26809.64,20.0,8135.1,2.0
2024-02-21,Middle East,Cloud Analytics,Software,8,520.3,4162.4,15.0,1522.9,
2024-02-21,Middle East,Security Suite,Subscription,24,937.66,22503.84,0.0,13096.8,4.0
2024-02-22,North America,Security Suite,Services,11,64.03,704.33,0.0,275.16,4.0
2024-02-22,Europe,Data Connector,Software,17,738.21,12549.57,20.0,6012.12,4.0
2024-02-23,North America,Enterprise ERP,Software,8,700.33,5602.64,0.0,2729.46,4.0
2024-02-23,Europe,AI CoPilot,Subscription,35,873.61,30576.35,15.0,5678.78,5.0
2024-02-24,North America,AI CoPilot,Services,35,738.88,25860.8,15.0,14232.93,2.0
2024-02-24,North America,Data Connector,Services,33,1000.82,33027.06,5.0,12977.5,3.0
2024-02-25,Europe,AI CoPilot,Subscription,5,1152.94,5764.7,5.0,1894.47,5.0
2024-02-25,Europe,Security Suite,Software,42,443.9,18643.8,5.0,8493.72,2.0
2024-02-26,Middle East,Data Connector,Subscription,39,311.45,12146.55,0.0,2483.32,
2024-02-26,Latin America,Cloud Analytics,Software,41,537.14,22022.74,20.0,8250.06,4.0
2024-02-27,Asia Pacific,Enterprise ERP,Software,28,381.12,10671.36,5.0,4046.18,2.0
2024-02-27,Europe,Enterprise ERP,Software,7,757.19,5300.33,20.0,1498.24,4.0
2024-02-28,Latin America,Enterprise ERP,Software,9,1098.63,9887.67,0.0,6194.72,3.0
2024-02-28,North America,Security Suite,Subscription,8,209.98,1679.84,25.0,518.15,5.0
2024-02-29,Asia Pacific,Cloud Analytics,Software,12,165.91,1990.92,5.0,490.92,5.0
2024-02-29,Middle East,Data Connector,Software,34,344.42,11710.28,0.0,4443.84,4.0
2024-03-01,North America,Data Connector,Software,33,885.01,29205.33,0.0,17806.31,4.0
2024-03-01,Asia Pacific,Enterprise ERP,Services,48,731.91,35131.68,15.0,7108.56,5.0
2024-03-02,Latin America,Cloud Analytics,Subscription,23,167.54,3853.42,10.0,891.22,3.0
2024-03-02,Latin America,Cloud Analytics,Software,24,1106.56,26557.44,15.0,3533.14,
2024-03-03,Asia Pacific,Cloud Analytics,Software,37,958.6,35468.2,0.0,5571.88,5.0
2024-03-03,North America,AI CoPilot,Software,35,76.48,2676.8,0.0,1511.58,5.0
2024-03-04,North America,AI CoPilot,Services,44,799.07,35159.08,10.0,16329.82,4.0
2024-03-04,North America,Enterprise ERP,Subscription,40,936.93,37477.2,5.0,11660.82,3.0
2024-03-05,Asia Pacific,Cloud Analytics,Subscription,22,480.6,10573.2,5.0,5013.79,4.0
2024-03-05,North America,Cloud Analytics,Subscription,27,129.26,3490.02,25.0,909.86,5.0
2024-03-06,Latin America,Data Connector,Software,35,138.92,4862.2,25.0,2284.44,1.0
2024-03-06,North America,Data Connector,Subscription,1,169.88,169.88,20.0,86.1,5.0
2024-03-07,North America,Enterprise ERP,Subscription,35,1016.51,35577.85,15.0,10475.45,3.0
2024-03-07,Europe,Cloud Analytics,Software,37,1097.29,40599.73,5.0,22259.02,3.0
2024-03-08,Asia Pacific,Enterprise ERP,Software,47,191.23,8987.81,5.0,4581.24,2.0
2024-03-08,North America,Data Connector,Subscription,14,321.29,4498.06,10.0,1234.72,1.0
2024-03-09,Europe,Data Connector,Services,3,240.35,721.05,15.0,163.04,4.0
2024-03-09,Europe,AI CoPilot,Software,1,264.27,264.27,0.0,100.19,
2024-03-10,North America,Enterprise ERP,Services,5,1013.11,5065.55,5.0,2601.87,5.0
2024-03-10,North America,Enterprise ERP,Subscription,26,431.97,11231.22,0.0,7076.61,4.0
2024-03-11,Latin America,Cloud Analytics,Software,14,408.16,5714.24,10.0,2734.9,3.0
2024-03-11,Europe,Cloud Analytics,Software,39,311.5,12148.5,20.0,5613.61,4.0
2024-03-12,North America,AI CoPilot,Software,27,749.08,20225.16,15.0,7762.46,5.0
2024-03-12,Latin America,Security Suite,Subscription,9,486.2,4375.8,0.0,2484.16,5.0
2024-03-13,Middle East,Security Suite,Software,15,905.89,13588.35,25.0,5525.81,2.0
2024-03-13,Asia Pacific,Security Suite,Software,15,286.42,4296.3,10.0,1308.84,5.0
2024-03-14,Europe,Enterprise ERP,Subscription,26,955.96,24854.96,0.0,10588.09,5.0
2024-03-14,Latin America,Enterprise ERP,Subscription,42,744.28,31259.76,0.0,17267.16,3.0
2024-03-15,Middle East,Data Connector,Software,13,181.41,2358.33,0.0,408.06,2.0
2024-03-15,Asia Pacific,Enterprise ERP,Software,32,526.68,16853.76,,9337.65,4.0
2024-03-16,Europe,Enterprise ERP,Software,39,1043.05,40678.95,25.0,7290.0,3.0
2024-03-16,Europe,Enterprise ERP,Subscription,49,1111.4,54458.6,5.0,21074.1,5.0
2024-03-17,Asia Pacific,AI CoPilot,Subscription,32,585.56,18737.92,20.0,8306.71,4.0
2024-03-17,North America,Enterprise ERP,Software,4,602.96,2411.84,5.0,634.47,5.0
2024-03-18,Europe,Cloud Analytics,Subscription,30,1106.22,33186.6,0.0,9056.75,4.0
2024-03-18,Latin America,Cloud Analytics,Subscription,37,725.13,26829.81,5.0,8956.14,3.0
2024-03-19,Asia Pacific,Data Connector,Subscription,23,87.77,2018.71,0.0,1205.82,3.0
2024-03-19,Europe,AI CoPilot,Subscription,39,1099.66,42886.74,5.0,6120.38,4.0
2024-03-20,Asia Pacific,Cloud Analytics,Software,45,335.46,15095.7,20.0,7254.29,5.0
2024-03-20,North America,AI CoPilot,Software,15,714.28,10714.2,10.0,2187.98,5.0
2024-03-21,Europe,AI CoPilot,Subscription,43,240.34,10334.62,10.0,5999.65,3.0
2024-03-21,Asia Pacific,Data Connector,Subscription,29,88.96,2579.84,0.0,1618.65,3.0
2024-03-22,North America,AI CoPilot,Subscription,36,408.19,14694.84,0.0,5838.81,1.0
2024-03-22,North America,Enterprise ERP,Software,13,947.57,12318.41,0.0,5005.71,4.0
2024-03-23,Middle East,AI CoPilot,Services,32,369.23,11815.36,10.0,4155.43,2.0
2024-03-23,North America,Data Connector,Subscription,7,303.11,2121.77,0.0,992.4,4.0
2024-03-24,North America,Data Connector,Software,22,294.58,6480.76,5.0,1202.78,4.0
2024-03-24,Middle East,Data Connector,Software,28,642.45,17988.6,10.0,2692.5,5.0
2024-03-25,Asia Pacific,Cloud Analytics,Subscription,2,1171.87,2343.74,5.0,398.22,4.0
2024-03-25,Asia Pacific,Enterprise ERP,Subscription,42,577.84,24269.28,0.0,9032.61,3.0
2024-03-26,Latin America,Cloud Analytics,Software,45,690.9,31090.5,0.0,8947.04,4.0
2024-03-26,North America,Security Suite,Services,6,1039.73,6238.38,20.0,2300.81,4.0
2024-03-27,Asia Pacific,Enterprise ERP,Software,28,665.33,18629.24,10.0,10834.75,4.0
2024-03-27,Europe,AI CoPilot,Software,28,262.13,7339.64,5.0,2392.75,5.0
2024-03-28,Latin America,Data Connector,Services,44,394.54,17359.76,0.0,7584.84,5.0
2024-03-28,Europe,Security Suite,Services,44,406.43,17882.92,,4798.91,3.0
2024-03-29,Asia Pacific,Enterprise ERP,Subscription,20,506.92,10138.4,,5234.17,3.0
2024-03-29,Europe,Cloud Analytics,Services,30,540.81,16224.3,5.0,9265.09,4.0
2024-03-30,Europe,Data Connector,Software,11,969.75,10667.25,20.0,5023.66,5.0
2024-03-30,Asia Pacific,Cloud Analytics,Services,28,451.8,12650.4,0.0,8060.66,1.0
2024-03-31,Asia Pacific,Enterprise ERP,Software,25,588.47,14711.75,10.0,2168.27,4.0
2024-03-31,Asia Pacific,Enterprise ERP,Software,39,768.72,29980.08,10.0,15377.3,4.0
2024-04-01,Europe,Security Suite,Software,33,484.38,15984.54,0.0,8406.05,3.0
2024-04-01,Europe,AI CoPilot,Software,1,1012.05,1012.05,25.0,200.65,4.0
2024-04-02,Asia Pacific,Cloud Analytics,Software,27,725.57,19590.39,15.0,10460.02,5.0
2024-04-02,Latin America,Security Suite,Software,13,388.15,5045.95,,1017.67,1.0
2024-04-03,Asia Pacific,Data Connector,Software,41,871.17,35717.97,0.0,17493.77,4.0
2024-04-03,Middle East,AI CoPilot,Software,3,656.79,1970.37,0.0,517.11,4.0
2024-04-04,Latin America,Security Suite,Subscription,39,664.62,25920.18,5.0,9004.82,5.0
2024-04-04,Europe,Cloud Analytics,Software,6,603.25,3619.5,15.0,1567.76,5.0
2024-04-05,Asia Pacific,Enterprise ERP,Software,8,621.56,4972.48,0.0,2146.43,4.0
2024-04-05,Middle East,Data Connector,Subscription,27,930.16,25114.32,10.0,8221.82,5.0
2024-04-06,Asia Pacific,Cloud Analytics,Services,9,168.43,1515.87,15.0,403.52,4.0
2024-04-06,Latin America,AI CoPilot,Subscription,37,434.52,16077.24,0.0,9161.29,4.0
2024-04-07,Asia Pacific,AI CoPilot,Software,33,136.83,4515.39,10.0,901.8,3.0
2024-04-07,Europe,Enterprise ERP,Subscription,42,916.23,38481.66,0.0,14047.79,3.0
2024-04-08,North America,Enterprise ERP,Software,44,363.15,15978.6,25.0,7212.89,3.0
2024-04-08,Europe,Data Connector,Software,24,1082.04,25968.96,5.0,14134.35,4.0
2024-04-09,Middle East,Data Connector,Software,15,655.57,9833.55,0.0,3446.37,1.0
2024-04-09,Asia Pacific,Enterprise ERP,Subscription,32,970.86,31067.52,5.0,15688.37,5.0
2024-04-10,Europe,Enterprise ERP,Software,32,1175.77,37624.64,5.0,20072.8,3.0
2024-04-10,Middle East,AI CoPilot,Software,24,1015.76,24378.24,15.0,12317.77,3.0
2024-04-11,Europe,Enterprise ERP,Software,41,1047.04,42928.64,15.0,15407.73,4.0
2024-04-11,Europe,Security Suite,Services,49,519.18,25439.82,10.0,5775.03,5.0
2024-04-12,Asia Pacific,Cloud Analytics,Subscription,49,684.48,33539.52,0.0,9312.4,2.0
2024-04-12,Asia Pacific,Enterprise ERP,Software,12,341.97,4103.64,0.0,1222.26,4.0
2024-04-13,North America,Data Connector,Subscription,39,275.53,10745.67,0.0,4802.25,5.0
2024-04-13,Europe,Security Suite,Subscription,2,631.33,1262.66,10.0,189.1,3.0
2024-04-14,Europe,Data Connector,Subscription,3,734.31,2202.93,20.0,824.81,4.0
2024-04-14,Europe,Security Suite,Software,49,440.16,21567.84,5.0,6806.13,5.0
2024-04-15,Europe,Enterprise ERP,Services,37,704.86,26079.82,0.0,7761.9,2.0
2024-04-15,Europe,Cloud Analytics,Software,49,1070.58,52458.42,10.0,27843.54,4.0
2024-04-16,North America,Data Connector,Subscription,17,690.23,11733.91,15.0,3790.06,4.0
2024-04-16,Europe,Security Suite,Software,49,878.94,43068.06,15.0,7231.02,4.0
2024-04-17,North America,AI CoPilot,Software,2,976.11,1952.22,20.0,879.86,3.0
2024-04-17,Europe,Enterprise ERP,Software,2,1187.04,2374.08,0.0,412.66,2.0
2024-04-18,Latin America,Cloud Analytics,Subscription,28,743.68,20823.04,0.0,10690.02,4.0
2024-04-18,Asia Pacific,Enterprise ERP,Software,23,977.88,22491.24,20.0,9661.39,1.0
2024-04-19,Europe,AI CoPilot,Subscription,37,1157.05,42810.85,10.0,12572.31,5.0
2024-04-19,North America,Cloud Analytics,Software,32,1136.07,36354.24,5.0,19423.13,4.0
2024-04-20,North America,AI CoPilot,Subscription,33,212.24,7003.92,15.0,2427.95,4.0
2024-04-20,Europe,Enterprise ERP,Subscription,1,517.35,517.35,15.0,167.83,5.0
2024-04-21,North America,Security Suite,Subscription,19,422.59,8029.21,10.0,1247.99,4.0
2024-04-21,Europe,Enterprise ERP,Subscription,2,149.96,299.92,10.0,79.63,1.0
2024-04-22,North America,Enterprise ERP,Subscription,44,778.23,34242.12,5.0,20022.39,5.0
2024-04-22,Latin America,Enterprise ERP,Software,26,896.29,23303.54,10.0,7254.88,3.0
2024-04-23,Europe,Data Connector,Subscription,32,1025.35,32811.2,10.0,12501.57,2.0
2024-04-23,North America,AI CoPilot,Software,6,191.19,1147.14,15.0,405.64,5.0
2024-04-24,Latin America,AI CoPilot,Subscription,32,1057.91,33853.12,15.0,12811.14,4.0
2024-04-24,North America,AI CoPilot,Subscription,4,789.36,3157.44,15.0,484.87,4.0
2024-04-25,North America,Data Connector,Software,11,859.54,9454.94,0.0,3130.42,3.0
2024-04-25,Europe,Security Suite,Software,17,1097.22,18652.74,15.0,8110.76,4.0
2024-04-26,Europe,Enterprise ERP,Software,38,768.48,29202.24,15.0,6212.43,3.0
2024-04-26,Asia Pacific,Security Suite,Subscription,24,436.25,10470.0,10.0,2372.61,5.0
2024-04-27,North America,Data Connector,Services,5,998.87,4994.35,15.0,658.2,3.0
2024-04-27,Europe,AI CoPilot,Subscription,34,467.52,15895.68,15.0,4982.18,5.0
2024-04-28,North America,Enterprise ERP,Subscription,6,89.36,536.16,5.0,301.21,4.0
2024-04-28,North America,Cloud Analytics,Services,22,1005.25,22115.5,10.0,3502.11,5.0
2024-04-29,Latin America,Cloud Analytics,Software,11,446.97,4916.67,,1207.33,5.0
2024-04-29,Asia Pacific,Security Suite,Software,48,939.91,45115.68,5.0,13074.08,4.0
2024-04-30,North America,AI CoPilot,Subscription,16,467.17,7474.72,10.0,3470.33,4.0
2024-04-30,Europe,Cloud Analytics,Subscription,33,1040.23,34327.59,15.0,13723.15,3.0
2024-05-01,North America,Security Suite,Services,9,302.44,2721.96,0.0,974.39,3.0
2024-05-01,Latin America,Data Connector,Software,6,1170.73,7024.38,0.0,3719.65,5.0
2024-05-02,North America,Security Suite,Software,16,946.72,15147.52,10.0,6200.39,5.0
2024-05-02,North America,Security Suite,Software,29,181.37,5259.73,0.0,3145.43,4.0
2024-05-03,Europe,Security Suite,Software,3,700.64,2101.92,0.0,1175.0,3.0
2024-05-03,Europe,Enterprise ERP,Software,20,1183.17,23663.4,0.0,6540.72,4.0
2024-05-04,Europe,Security Suite,Subscription,36,591.73,21302.28,0.0,6086.47,4.0
2024-05-04,North America,Security Suite,Software,19,259.42,4928.98,0.0,1048.29,4.0
2024-05-05,North America,Enterprise ERP,Subscription,26,607.5,15795.0,5.0,4778.91,5.0
2024-05-05,Europe,Enterprise ERP,Software,3,639.33,1917.99,5.0,1183.94,5.0
2024-05-06,North America,Data Connector,Subscription,19,902.94,17155.86,20.0,4843.11,3.0
2024-05-06,Latin America,AI CoPilot,Software,20,853.67,17073.4,10.0,3998.93,4.0
2024-05-07,North America,Cloud Analytics,Software,32,512.93,16413.76,15.0,7411.72,4.0
2024-05-07,Europe,Cloud Analytics,Software,7,300.73,2105.11,0.0,886.75,4.0
2024-05-08,Asia Pacific,Security Suite,Services,41,791.81,32464.21,0.0,7297.98,3.0
2024-05-08,North America,Data Connector,Subscription,33,534.96,17653.68,15.0,5107.09,2.0
2024-05-09,Asia Pacific,Security Suite,Software,40,202.12,8084.8,0.0,2888.17,5.0
2024-05-09,Latin America,Cloud Analytics,Software,39,1085.66,42340.74,5.0,21194.47,4.0
2024-05-10,North America,Enterprise ERP,Services,18,844.91,15208.38,10.0,2194.6,4.0
2024-05-10,Latin America,AI CoPilot,Software,40,835.66,33426.4,10.0,8559.13,5.0
2024-05-11,Europe,Data Connector,Software,1,995.97,995.97,0.0,407.15,
2024-05-11,North America,Enterprise ERP,Subscription,11,659.11,7250.21,5.0,1959.02,3.0
2024-05-12,Europe,AI CoPilot,Services,28,987.31,27644.68,10.0,11549.82,4.0
2024-05-12,North America,Data Connector,Software,25,622.8,15570.0,0.0,6086.84,4.0
2024-05-13,Asia Pacific,Data Connector,Software,23,127.25,2926.75,10.0,871.5,5.0
2024-05-13,Asia Pacific,Cloud Analytics,Services,31,516.04,15997.24,15.0,8493.15,5.0
2024-05-14,Latin America,Enterprise ERP,Software,30,622.08,18662.4,25.0,6523.63,4.0
2024-05-14,Middle East,Data Connector,Software,42,878.23,36885.66,,7929.34,4.0
2024-05-15,Asia Pacific,Data Connector,Subscription,35,172.57,6039.95,15.0,2207.84,5.0
2024-05-15,Asia Pacific,AI CoPilot,Services,7,211.02,1477.14,10.0,718.38,2.0
2024-05-16,North America,Cloud Analytics,Software,16,353.24,5651.84,5.0,2707.42,3.0
2024-05-16,Europe,Security Suite,Services,26,356.47,9268.22,0.0,2187.71,4.0
2024-05-17,North America,Cloud Analytics,Subscription,48,892.01,42816.48,15.0,23154.23,2.0
2024-05-17,Asia Pacific,Security Suite,Software,49,338.34,16578.66,0.0,6207.16,3.0
2024-05-18,Europe,Enterprise ERP,Services,2,778.06,1556.12,5.0,339.29,5.0
2024-05-18,North America,Enterprise ERP,Software,1,618.41,618.41,0.0,148.48,5.0
2024-05-19,North America,Data Connector,Software,48,709.29,34045.92,15.0,5762.27,4.0
2024-05-19,Europe,Enterprise ERP,Subscription,12,1013.82,12165.84,15.0,5705.72,3.0
2024-05-20,Europe,Data Connector,Software,5,515.04,2575.2,15.0,461.9,3.0
2024-05-20,Europe,Cloud Analytics,Software,37,936.55,34652.35,0.0,7365.79,3.0
2024-05-21,Asia Pacific,Enterprise ERP,Software,32,535.34,17130.88,0.0,9854.3,1.0
2024-05-21,Europe,Cloud Analytics,Software,9,456.95,4112.55,10.0,1192.93,5.0
2024-05-22,Asia Pacific,Cloud Analytics,Subscription,41,1152.42,47249.22,5.0,7425.57,3.0
2024-05-22,North America,Enterprise ERP,Subscription,35,262.03,9171.05,0.0,1613.62,4.0
2024-05-23,North America,Cloud Analytics,Services,19,153.89,2923.91,10.0,581.79,1.0
2024-05-23,Europe,Enterprise ERP,Software,48,936.63,44958.24,25.0,8655.47,5.0
2024-05-24,Europe,Enterprise ERP,Software,16,128.49,2055.84,15.0,843.28,5.0
2024-05-24,North America,Enterprise ERP,Software,3,1012.64,3037.92,15.0,590.46,5.0
2024-05-25,Europe,Security Suite,Software,20,552.77,11055.4,25.0,1736.56,5.0
2024-05-25,North America,Cloud Analytics,Software,24,1102.84,26468.16,0.0,14090.58,4.0
2024-05-26,Europe,AI CoPilot,Subscription,33,879.76,29032.08,10.0,12686.29,3.0
2024-05-26,Europe,Enterprise ERP,Services,24,751.97,18047.28,,4976.48,4.0
2024-05-27,Asia Pacific,Cloud Analytics,Services,11,1141.7,12558.7,0.0,5333.11,4.0
2024-05-27,Latin America,Data Connector,Software,49,506.15,24801.35,15.0,6450.66,4.0
