Latitude,Longitude,Median_Income_kUSD,House_Age_Years,Avg_Rooms,Avg_Bedrooms,Block_Population,Distance_City_Km,Ocean_Proximity,Median_House_Value_USD
36.6532,-119.9813,3.85,5,4.8,1.9,1898,45.7,NEAR BAY,109638.0
34.9087,-120.1184,5.88,50,7.7,3.0,3615,6.8,<1H OCEAN,298812.0
33.6794,-118.7445,6.24,12,5.6,2.3,3068,7.1,NEAR BAY,314155.0
37.3126,-119.1958,9.69,12,10.6,3.9,4329,20.4,INLAND,408833.0
33.7103,-119.0847,2.85,21,4.0,1.6,2031,9.1,<1H OCEAN,147766.0
32.8316,-118.7155,5.67,19,6.4,2.5,2907,0.4,<1H OCEAN,284762.0
32.8034,-120.9492,6.89,9,7.5,2.7,3710,37.9,<1H OCEAN,252875.0
35.8738,-120.7916,6.13,43,7.5,2.8,3398,8.5,<1H OCEAN,320610.0
36.0745,-120.1786,14.2,49,12.0,4.3,6000,3.4,INLAND,500000.0
34.2863,-120.8705,10.83,48,10.1,3.8,5194,12.2,INLAND,500000.0
34.3321,-117.2798,10.82,36,11.1,4.3,5158,3.7,<1H OCEAN,500000.0
34.4314,-118.1855,5.470000000000001,42,5.0,1.9,3053,3.5,<1H OCEAN,281003.0
36.1688,-121.6273,7.42,54,7.9,3.1,4274,11.8,<1H OCEAN,368951.0
32.9965,-122.4704,4.51,47,5.0,1.8,2831,7.4,NEAR BAY,238108.0
37.4385,-122.2732,4.57,51,4.8,1.9,2979,12.8,NEAR BAY,214504.0
33.8349,-121.2065,10.88,32,9.4,3.5,5191,86.3,<1H OCEAN,350694.0
37.7983,-121.8943,10.01,35,10.6,3.8,4771,29.4,INLAND,440565.0
33.5748,-119.6733,4.37,31,5.6,2.1,2632,0.1,NEAR OCEAN,233417.0
36.6349,-117.9526,7.19,53,7.2,2.6,4224,0.8,NEAR BAY,363564.0
33.8394,-118.5952,3.33,32,4.5,1.6,1942,14.1,<1H OCEAN,159084.0
33.1123,-121.3573,8.73,37,8.1,2.8,4445,14.8,<1H OCEAN,431252.0
37.1622,-120.3837,4.32,32,5.0,1.9,2847,31.6,INLAND,140826.0
37.0796,-119.8082,7.2,43,7.6,2.9,3647,14.9,INLAND,348278.0
34.7582,-118.2059,14.75,37,12.0,4.4,6000,3.9,NEAR BAY,500000.0
36.2822,-118.0527,4.08,39,5.6,2.2,2706,9.5,INLAND,220516.0
35.541,-117.6785,8.05,38,7.0,2.5,3841,24.8,INLAND,335935.0
37.0501,-119.801,6.71,30,7.7,2.9,3706,38.4,NEAR BAY,263432.0
34.3068,-118.8203,3.93,32,3.8,1.8,2273,4.1,<1H OCEAN,200323.0
35.3707,-121.9075,4.859999999999999,45,6.2,2.5,2965,11.6,<1H OCEAN,244700.0
35.1754,-119.504,8.370000000000001,2,8.5,3.3,4072,2.6,NEAR BAY,376029.0
34.5049,-121.1819,6.19,51,7.8,2.8,3726,10.3,<1H OCEAN,311187.0
37.2464,-120.2119,12.91,11,11.8,4.3,5466,1.4,NEAR BAY,500000.0
33.546,-119.1395,8.559999999999999,20,9.5,3.3,4481,42.6,<1H OCEAN,334056.0
33.4625,-121.138,4.21,37,4.4,1.8,2837,15.2,INLAND,220766.0
35.6422,-122.2234,10.2,9,10.2,3.9,4880,28.9,<1H OCEAN,444112.0
36.0532,-122.4458,10.8,38,9.0,3.2,5272,95.6,NEAR BAY,354777.0
33.6926,-122.3826,7.79,49,8.9,3.2,4018,3.0,NEAR BAY,368766.0
34.6927,-122.4557,8.9,19,10.5,3.9,4033,17.8,<1H OCEAN,402946.0
37.5275,-121.9151,7.74,40,7.6,2.9,3671,32.7,<1H OCEAN,335434.0
33.9577,-121.2307,11.96,7,11.7,4.2,5482,12.9,<1H OCEAN,500000.0
36.1086,-121.3275,11.27,5,11.4,4.1,5268,15.3,NEAR BAY,500000.0
36.4748,-117.27,3.3200000000000003,47,3.4,1.3,2281,7.9,INLAND,162539.0
34.9855,-120.8782,3.1799999999999997,42,3.9,1.6,2099,16.8,INLAND,131666.0
37.4814,-121.8247,6.25,24,6.4,2.5,3253,7.6,INLAND,282740.0
36.4569,-119.6085,9.89,48,11.8,4.3,4807,9.7,<1H OCEAN,439168.0
35.0354,-117.9528,11.75,41,12.0,4.4,5614,1.6,INLAND,500000.0
35.6036,-118.9063,5.78,7,6.5,2.3,2742,0.1,<1H OCEAN,268341.0
36.2323,-120.9308,6.17,11,7.6,2.9,3200,0.9,INLAND,318639.0
35.7202,-119.5234,5.94,9,6.9,2.6,3214,3.2,NEAR BAY,280654.0
37.1814,-118.7113,6.58,49,7.7,2.9,3723,9.1,INLAND,313423.0
34.5201,-118.641,7.37,30,7.1,2.7,3731,0.3,<1H OCEAN,342215.0
34.2294,-118.9673,5.49,41,7.5,2.7,3303,2.5,INLAND,276631.0
33.7906,-117.8847,5.93,3,6.1,2.3,2905,22.8,INLAND,267612.0
32.8927,-117.8884,8.190000000000001,22,8.0,3.0,4187,21.5,<1H OCEAN,384060.0
32.9194,-119.4316,3.74,40,5.5,2.1,2268,23.4,INLAND,160709.0
37.1373,-120.2218,15.47,51,12.0,4.2,6000,38.2,<1H OCEAN,500000.0
36.1598,-119.0997,17.4,20,12.0,4.2,6000,1.9,NEAR OCEAN,500000.0
36.0687,-118.1635,9.77,32,10.5,3.9,4634,2.7,INLAND,455407.0
35.8347,-122.47,12.63,48,11.2,4.1,6000,6.1,ISLAND,500000.0
37.031,-117.2424,4.4399999999999995,7,7.0,2.6,2171,37.0,NEAR BAY,192201.0
35.1494,-121.5307,5.140000000000001,7,5.7,2.1,2165,22.4,<1H OCEAN,225957.0
37.1391,-120.0077,2.33,20,3.8,1.5,1549,5.9,INLAND,135228.0
34.5332,-117.8782,6.99,25,9.1,3.3,3311,1.4,NEAR OCEAN,364687.0
37.4262,-121.3073,7.09,45,7.1,2.6,3685,14.4,NEAR BAY,349187.0
36.2632,-119.973,7.79,35,9.1,3.4,4387,4.5,NEAR BAY,376158.0
34.0116,-121.7973,3.09,44,4.3,1.7,1998,11.4,<1H OCEAN,142833.0
35.5768,-120.4061,6.73,24,6.7,2.7,3558,42.7,INLAND,255988.0
35.4185,-121.5612,8.0,40,8.1,3.1,4083,12.8,INLAND,362415.0
33.4033,-120.5728,8.6,13,9.3,3.5,4144,38.6,<1H OCEAN,339792.0
35.7153,-120.5206,5.24,52,7.0,2.8,3014,7.5,NEAR BAY,255231.0
34.3054,-117.2362,16.630000000000003,48,12.0,4.3,6000,15.1,<1H OCEAN,500000.0
32.967,-117.2275,6.14,39,5.6,2.1,3431,33.6,<1H OCEAN,233040.0
37.5381,-121.8916,7.33,4,8.4,3.0,3562,13.3,INLAND,317510.0
35.9716,-118.6524,5.81,12,6.5,2.4,2963,14.3,<1H OCEAN,267793.0
37.1723,-122.2257,5.279999999999999,17,5.3,2.0,3033,18.9,INLAND,241949.0
36.1479,-122.34,9.280000000000001,1,9.7,3.5,4334,32.1,INLAND,386934.0
34.5206,-121.9417,3.15,17,5.4,2.1,2004,1.4,<1H OCEAN,162090.0
35.3147,-117.3829,9.56,2,9.7,3.6,4474,6.2,<1H OCEAN,441912.0
36.1463,-117.5134,7.25,6,8.5,3.0,3108,7.6,INLAND,364730.0
37.5973,-121.4722,6.3,44,7.4,2.8,3497,36.1,<1H OCEAN,249709.0
33.9937,-121.6431,3.84,11,5.5,2.1,2133,46.9,INLAND,137954.0
37.1624,-121.2252,6.97,53,7.3,2.6,4051,1.9,NEAR BAY,335072.0
37.4128,-119.7676,9.24,43,10.0,3.6,4485,1.9,INLAND,428247.0
36.1191,-119.4806,7.39,18,8.6,3.3,3676,41.0,NEAR BAY,285541.0
37.4495,-121.3256,6.63,40,7.9,3.1,3936,5.3,NEAR BAY,328248.0
34.7292,-118.4899,6.09,25,6.6,2.3,3180,4.2,<1H OCEAN,282031.0
37.5604,-120.8594,5.54,39,7.2,2.8,2839,0.5,NEAR OCEAN,282963.0
36.2842,-117.6127,3.96,28,5.5,2.0,2798,4.8,NEAR OCEAN,209599.0
32.9142,-119.0194,9.15,46,8.5,3.1,4476,17.7,NEAR BAY,408267.0
37.3251,-120.1873,7.63,16,7.8,2.9,3504,8.3,NEAR BAY,371649.0
35.1708,-118.3135,9.43,12,9.1,3.5,4191,10.9,<1H OCEAN,447607.0
35.0477,-118.1651,5.5,41,4.8,1.9,3255,37.4,<1H OCEAN,239356.0
35.589,-120.9604,6.31,52,7.9,2.9,3803,1.8,INLAND,313092.0
33.4619,-120.6995,3.86,29,7.6,2.7,2686,1.1,<1H OCEAN,194552.0
35.0927,-117.5394,3.2199999999999998,23,5.5,2.1,2021,28.7,INLAND,122147.0
36.9387,-121.6269,7.14,21,7.8,2.9,3368,22.4,INLAND,307396.0
32.779,-122.2766,2.54,16,3.6,1.4,1562,4.6,<1H OCEAN,129135.0
34.0919,-120.0935,8.030000000000001,53,7.7,3.0,4248,5.9,INLAND,408566.0
32.7125,-118.2536,5.16,51,6.2,2.4,3069,5.6,NEAR BAY,276795.0
34.8201,-118.4102,18.13,48,12.0,4.6,6000,15.7,NEAR BAY,500000.0
36.4144,-117.6265,6.92,41,7.0,2.5,3414,0.9,INLAND,333163.0
36.7737,-119.674,8.940000000000001,45,11.2,4.0,4302,10.1,<1H OCEAN,408034.0
37.5205,-121.9697,4.95,26,4.9,1.9,2678,2.2,NEAR BAY,238604.0
35.8034,-119.3799,11.55,37,11.4,4.4,5563,25.7,NEAR OCEAN,500000.0
33.9986,-118.3745,12.01,22,11.7,4.2,5435,7.2,<1H OCEAN,500000.0
37.4132,-122.0054,10.65,51,10.5,3.9,5165,11.2,<1H OCEAN,500000.0
36.6541,-121.5849,16.39,10,12.0,4.5,6000,0.4,INLAND,500000.0
35.6296,-122.4349,4.08,7,5.3,2.1,2296,0.9,<1H OCEAN,209581.0
36.2478,-119.3536,9.26,9,9.0,3.5,4097,16.9,NEAR OCEAN,414689.0
37.414,-117.8003,4.73,25,6.8,2.8,2540,21.8,NEAR BAY,224115.0
36.3332,-118.9455,4.16,46,6.6,2.5,2727,18.6,<1H OCEAN,190584.0
34.5787,-117.2952,6.74,15,7.1,2.7,3093,20.0,INLAND,287603.0
36.3364,-122.1659,7.66,13,6.8,2.7,3796,1.7,<1H OCEAN,390737.0
32.9054,-117.7141,6.51,42,7.5,2.7,3455,17.7,INLAND,299525.0
34.6707,-118.1854,3.66,46,5.2,1.9,2496,3.0,NEAR OCEAN,204959.0
34.7722,-120.8345,7.06,26,7.7,2.9,3607,1.5,INLAND,355144.0
33.5509,-117.3403,6.78,21,7.9,2.9,3198,21.2,<1H OCEAN,272424.0
32.8177,-120.9739,4.23,23,6.5,2.6,2294,33.0,<1H OCEAN,163067.0
33.3802,-117.7867,13.14,44,12.0,4.4,6000,18.9,NEAR OCEAN,500000.0
36.0386,-117.832,15.64,28,12.0,4.5,6000,24.6,<1H OCEAN,500000.0
36.7917,-118.4844,7.27,51,8.4,3.0,3568,70.8,INLAND,240792.0
37.7398,-119.5136,10.67,38,10.7,4.0,5356,2.2,<1H OCEAN,500000.0
34.4665,-121.864,2.17,12,3.0,1.0,1547,50.4,NEAR BAY,75000.0
35.7568,-119.6805,6.82,24,8.6,3.1,3884,13.8,NEAR BAY,315521.0
37.4794,-120.609,11.26,13,11.1,4.1,5022,25.2,NEAR OCEAN,471926.0
33.5519,-118.3012,6.9,40,6.8,2.5,3839,15.8,<1H OCEAN,305637.0
36.36,-118.4819,6.48,48,6.3,2.4,3511,12.7,NEAR BAY,325342.0
36.5504,-117.6738,9.34,2,8.7,3.3,4512,18.2,INLAND,407973.0
33.1538,-122.4214,18.24,54,12.0,4.5,6000,5.8,<1H OCEAN,500000.0
37.0924,-118.2118,8.0,39,8.9,3.1,4132,38.7,INLAND,323593.0
36.8468,-117.5262,7.31,12,7.7,3.0,3316,1.8,NEAR BAY,349348.0
32.8704,-118.3167,12.47,39,12.0,4.5,6000,5.7,INLAND,500000.0
33.1645,-121.81,8.48,51,9.7,3.5,4515,0.5,<1H OCEAN,416646.0
32.9505,-122.0692,14.69,14,12.0,4.3,6000,4.7,INLAND,500000.0
34.4072,-122.3895,4.1899999999999995,30,5.9,2.3,2792,3.7,NEAR BAY,254234.0
35.2974,-119.1677,4.220000000000001,41,5.6,2.1,2370,0.8,<1H OCEAN,233500.0
35.415,-119.1627,4.58,50,5.5,2.2,2688,10.2,<1H OCEAN,212417.0
34.0651,-117.2694,10.3,43,10.1,3.8,5168,9.5,NEAR OCEAN,484635.0
37.3491,-120.3904,8.030000000000001,48,8.9,3.2,4044,1.2,NEAR BAY,405020.0
34.5781,-120.7409,6.05,19,6.1,2.2,3046,4.6,INLAND,305265.0
32.9323,-119.1905,8.05,31,8.4,3.0,4284,46.0,NEAR BAY,327100.0
34.2312,-118.1243,11.05,43,10.2,3.8,5436,1.8,NEAR BAY,500000.0
35.4087,-117.5351,5.9,50,7.7,3.0,3124,5.5,<1H OCEAN,300577.0
34.7819,-118.2434,9.7,43,10.3,3.7,4891,0.5,INLAND,477365.0
34.0966,-120.2386,5.57,25,8.2,3.2,3225,2.4,INLAND,250511.0
33.3697,-119.135,3.29,4,4.0,1.5,1890,18.0,NEAR OCEAN,122458.0
36.8777,-117.9616,6.9,50,7.0,2.7,3934,6.9,NEAR OCEAN,322646.0
37.7803,-119.8998,3.12,51,4.5,1.7,2154,9.0,NEAR BAY,157090.0
34.3807,-121.3516,5.86,13,6.1,2.3,3025,2.6,INLAND,268242.0
34.6463,-121.6005,7.34,36,8.3,3.2,3480,17.2,<1H OCEAN,321077.0
35.852,-122.4992,4.6,42,5.6,2.3,2885,20.9,INLAND,226719.0
36.3641,-118.6933,8.969999999999999,54,8.8,3.1,4700,3.0,NEAR BAY,416396.0
34.6994,-121.9112,6.12,37,7.8,3.0,3059,0.7,INLAND,309665.0
37.3151,-121.2077,9.11,3,7.8,2.9,4478,1.3,NEAR BAY,442072.0
35.556,-120.9213,6.79,16,7.9,3.0,3490,16.1,<1H OCEAN,300048.0
34.997,-119.53,6.22,26,6.5,2.3,3109,2.2,NEAR BAY,328847.0
35.998,-120.3908,4.62,40,6.3,2.3,2879,10.2,NEAR BAY,220546.0
37.5593,-118.9242,6.95,39,8.4,3.1,3473,2.5,<1H OCEAN,374011.0
36.7522,-122.2051,7.37,19,6.1,2.4,3468,2.8,INLAND,332581.0
32.9041,-121.8431,8.11,46,8.3,3.0,4008,0.1,INLAND,427705.0
34.3948,-119.8542,7.74,15,8.2,3.0,3544,5.8,<1H OCEAN,351946.0
35.0998,-120.7141,3.64,32,3.0,1.3,2363,1.4,NEAR BAY,218953.0
34.304,-120.9322,10.82,49,10.8,4.2,5336,7.5,<1H OCEAN,500000.0
36.271,-122.1448,8.25,21,8.2,3.1,4159,13.7,INLAND,393659.0
36.914,-117.7527,7.03,1,6.7,2.6,2758,6.9,NEAR BAY,343537.0
36.4299,-118.8334,8.07,6,7.9,2.9,3709,18.3,<1H OCEAN,344541.0
37.7456,-121.8554,8.8,27,8.4,3.1,4214,20.3,NEAR BAY,408288.0
34.09,-122.1553,15.99,23,12.0,4.4,6000,17.9,<1H OCEAN,500000.0
37.1624,-117.3332,5.24,47,6.3,2.4,3071,41.4,NEAR BAY,182841.0
36.6098,-118.8898,5.3100000000000005,31,7.0,2.5,2979,4.1,NEAR BAY,274695.0
34.5471,-120.2875,4.08,12,5.2,2.1,2269,3.2,NEAR BAY,188591.0
36.444,-118.7808,2.7800000000000002,21,5.1,2.1,1730,14.1,<1H OCEAN,120425.0
33.2308,-118.4914,8.35,52,7.8,2.9,4280,13.6,<1H OCEAN,383878.0
36.7256,-118.3662,16.32,2,12.0,4.5,6000,10.7,<1H OCEAN,500000.0
35.4149,-119.9673,5.99,5,8.5,3.3,3046,0.1,NEAR BAY,277086.0
34.1907,-120.2216,11.96,9,10.3,3.7,5391,12.2,NEAR BAY,500000.0
36.0445,-122.4416,6.04,20,5.5,2.0,2958,40.5,NEAR BAY,213249.0
35.9723,-117.5892,11.68,46,12.0,4.4,5464,6.1,INLAND,500000.0
33.7684,-119.3025,8.04,18,8.6,3.2,3997,51.4,<1H OCEAN,305730.0
32.855,-121.4233,6.98,22,7.1,2.6,3663,6.6,INLAND,346856.0
34.9115,-117.6261,5.27,8,5.3,2.2,2902,2.3,<1H OCEAN,270431.0
35.6045,-117.6509,7.14,34,7.7,3.1,3597,7.6,NEAR BAY,344099.0
37.1707,-117.2573,10.2,9,10.3,3.8,4294,10.2,NEAR BAY,464232.0
37.4339,-117.8675,4.96,7,6.1,2.2,2630,14.9,<1H OCEAN,217124.0
35.3969,-117.2117,6.63,30,6.4,2.5,3308,10.5,<1H OCEAN,321112.0
36.5444,-121.2032,7.57,18,7.8,2.8,3687,11.5,INLAND,365744.0
34.9404,-118.0361,10.04,27,9.6,3.7,4815,0.4,INLAND,482314.0
36.505,-118.1379,7.24,16,8.3,3.1,3666,4.4,<1H OCEAN,353870.0
33.7445,-121.276,6.06,21,6.0,2.4,3312,5.6,<1H OCEAN,274514.0
34.5924,-121.9783,7.81,5,8.3,3.2,3907,65.2,NEAR BAY,269380.0
35.9346,-117.3091,11.55,29,12.0,4.5,5673,5.3,<1H OCEAN,500000.0
32.7926,-120.9311,8.46,47,7.8,3.1,4374,34.0,NEAR OCEAN,347511.0
36.3846,-117.8843,6.71,37,6.8,2.6,3216,5.5,NEAR BAY,346589.0
36.9612,-122.4781,7.08,43,7.6,2.8,3640,1.5,NEAR OCEAN,338782.0
34.7356,-122.3886,4.1899999999999995,22,3.0,1.0,2677,4.3,<1H OCEAN,177686.0
34.9845,-120.0309,9.64,14,8.6,3.0,4525,4.8,<1H OCEAN,464862.0
37.0415,-121.2348,3.69,19,5.2,2.1,2601,57.4,NEAR BAY,98011.0
36.6558,-118.8438,5.62,35,6.4,2.4,3022,16.8,INLAND,241995.0
34.1696,-119.5025,6.34,24,7.9,2.9,3738,40.3,<1H OCEAN,250090.0
34.3523,-122.0893,5.61,42,6.3,2.3,3163,27.0,<1H OCEAN,262398.0
36.1623,-121.6381,4.27,6,5.2,2.1,2184,13.0,<1H OCEAN,195668.0
35.5723,-120.4433,5.01,3,5.4,2.0,2391,16.9,NEAR BAY,253108.0
33.5274,-121.5163,3.6,34,4.6,2.0,2411,14.7,<1H OCEAN,159775.0
34.2806,-118.3012,13.77,45,12.0,4.6,6000,16.5,<1H OCEAN,500000.0
37.2899,-120.2948,5.33,50,6.1,2.2,3022,4.6,INLAND,255405.0
36.2097,-122.0048,5.1,2,5.3,2.1,2549,7.9,INLAND,201864.0
37.7285,-119.933,16.28,15,12.0,4.4,6000,13.5,<1H OCEAN,500000.0
36.6118,-122.0186,3.2199999999999998,37,4.1,1.5,2138,0.5,INLAND,182426.0
37.5041,-121.8166,8.92,15,9.5,3.4,4562,9.9,<1H OCEAN,440167.0
33.8026,-121.2301,7.01,32,7.7,2.9,3710,29.5,INLAND,293032.0
36.6346,-117.9445,4.3,21,6.0,2.2,2298,10.2,NEAR BAY,192064.0
32.8031,-117.5996,7.25,17,7.1,2.8,3474,12.1,NEAR BAY,307019.0
36.1209,-118.1208,14.88,34,12.0,4.4,6000,3.4,<1H OCEAN,500000.0
35.0933,-120.7294,8.879999999999999,32,10.5,3.8,4269,23.7,INLAND,405603.0
34.4685,-121.056,8.34,50,9.8,3.6,4429,6.7,NEAR BAY,404871.0
37.0983,-119.5895,3.83,47,4.0,1.6,2394,47.1,NEAR BAY,107107.0
37.0568,-118.6742,4.63,52,4.9,1.8,2667,76.0,<1H OCEAN,127347.0
