Customer_ID,Tenure_Months,Contract_Type,Internet_Service,Monthly_Charges_USD,Total_Charges_USD,Tech_Support_Calls,Churned
CUST-1230,44,Month-to-month,DSL,73.04,3125.2,4,No
CUST-1231,59,Two year,Fiber optic,97.84,5723.13,3,No
CUST-1232,4,One year,Fiber optic,73.09,256.15,3,No
CUST-1233,65,Month-to-month,No,20.73,1347.96,1,Yes
CUST-1234,13,Month-to-month,Fiber optic,90.28,1152.19,1,No
CUST-1235,67,Month-to-month,Fiber optic,96.99,6471.88,3,Yes
CUST-1236,12,Month-to-month,DSL,68.71,853.57,1,No
CUST-1237,55,One year,No,21.7,1232.85,1,No
CUST-1238,61,Month-to-month,DSL,50.31,3037.98,2,No
CUST-1239,41,Month-to-month,Fiber optic,78.33,3169.04,2,Yes
CUST-1240,36,One year,DSL,47.23,1763.49,2,No
CUST-1241,2,Month-to-month,DSL,66.99,270.28,4,Yes
CUST-1242,22,Month-to-month,DSL,73.77,1575.84,4,Yes
CUST-1243,22,Month-to-month,DSL,49.07,1124.1,3,Yes
CUST-1244,41,Month-to-month,Fiber optic,91.78,3756.03,1,No
CUST-1245,14,Two year,No,21.18,330.32,2,No
CUST-1246,35,One year,DSL,63.79,2185.0,2,No
CUST-1247,50,Month-to-month,Fiber optic,82.71,4072.91,2,No
CUST-1248,9,Month-to-month,DSL,60.49,488.27,3,No
CUST-1249,59,Month-to-month,Fiber optic,80.54,4723.65,3,No
CUST-1250,56,Month-to-month,DSL,72.4,4042.66,4,No
CUST-1251,10,Two year,Fiber optic,86.38,911.06,2,Yes
CUST-1252,25,Month-to-month,Fiber optic,100.64,2474.33,1,No
CUST-1253,45,Two year,DSL,69.42,3092.01,1,No
CUST-1254,11,Month-to-month,No,26.85,399.38,0,No
CUST-1255,9,Two year,Fiber optic,78.89,712.68,2,No
CUST-1256,7,One year,DSL,59.16,428.39,2,No
CUST-1257,71,One year,DSL,69.4,4964.67,4,No
CUST-1258,34,Month-to-month,Fiber optic,70.64,2375.57,2,Yes
CUST-1259,20,Two year,Fiber optic,113.23,2263.68,2,No
CUST-1260,5,Month-to-month,DSL,53.41,250.93,3,No
CUST-1261,55,Two year,Fiber optic,111.04,6103.05,5,No
CUST-1262,15,One year,No,23.68,397.36,1,No
CUST-1263,48,Month-to-month,DSL,54.3,2640.13,1,No
CUST-1264,4,Two year,No,28.0,18.0,3,Yes
CUST-1265,21,Two year,Fiber optic,103.36,2220.45,3,No
CUST-1266,9,One year,No,23.51,194.3,3,No
CUST-1267,66,Month-to-month,Fiber optic,105.89,7008.48,1,Yes
CUST-1268,35,Two year,DSL,41.07,1417.07,5,No
CUST-1269,51,One year,Fiber optic,92.13,4696.04,2,No
CUST-1270,37,One year,DSL,69.45,2635.41,3,No
CUST-1271,6,Two year,Fiber optic,78.7,489.0,2,No
CUST-1272,51,Month-to-month,Fiber optic,80.88,4188.09,1,No
CUST-1273,66,Month-to-month,DSL,72.02,4750.77,2,No
CUST-1274,17,One year,DSL,66.74,1126.83,2,No
CUST-1275,65,Month-to-month,DSL,43.97,2858.66,2,No
CUST-1276,9,One year,Fiber optic,79.15,648.88,0,No
CUST-1277,13,Month-to-month,Fiber optic,82.88,942.89,1,No
CUST-1278,58,Month-to-month,No,27.45,1553.06,2,Yes
CUST-1279,30,Month-to-month,DSL,57.65,1780.86,2,Yes
CUST-1280,31,Month-to-month,Fiber optic,88.28,2807.71,1,Yes
CUST-1281,23,Month-to-month,DSL,54.71,1158.21,0,No
CUST-1282,63,Month-to-month,No,21.89,1443.4,0,No
CUST-1283,28,Month-to-month,No,24.89,667.3,1,No
CUST-1284,59,One year,Fiber optic,100.48,5857.0,0,No
CUST-1285,10,Two year,No,18.21,235.06,1,Yes
CUST-1286,26,Month-to-month,Fiber optic,70.65,1811.63,0,Yes
CUST-1287,17,Month-to-month,DSL,47.88,944.74,1,No
CUST-1288,40,Month-to-month,Fiber optic,92.76,3676.74,1,Yes
CUST-1289,68,Month-to-month,DSL,59.51,4032.86,3,No
CUST-1290,23,Two year,DSL,61.06,1355.56,2,No
CUST-1291,35,Month-to-month,Fiber optic,90.1,3161.0,1,No
CUST-1292,9,Month-to-month,DSL,69.92,669.13,3,Yes
CUST-1293,45,Month-to-month,DSL,47.2,2037.49,1,No
CUST-1294,37,Two year,DSL,67.09,2515.12,1,No
CUST-1295,69,Month-to-month,Fiber optic,74.84,5143.53,0,No
CUST-1296,19,One year,Fiber optic,89.49,1657.26,2,No
CUST-1297,27,Month-to-month,DSL,46.99,1198.67,2,No
CUST-1298,13,Month-to-month,No,22.47,341.04,3,No
CUST-1299,57,Two year,DSL,46.81,2682.5,1,No
CUST-1300,60,Month-to-month,Fiber optic,95.84,5721.3,1,No
CUST-1301,12,One year,DSL,48.5,620.97,2,No
CUST-1302,9,One year,Fiber optic,100.51,931.08,1,No
CUST-1303,27,Month-to-month,No,23.88,688.15,1,Yes
CUST-1304,63,Month-to-month,Fiber optic,112.49,7168.9,2,No
CUST-1305,29,One year,Fiber optic,99.65,2900.73,2,Yes
CUST-1306,22,Month-to-month,DSL,60.03,1417.28,1,No
CUST-1307,19,Month-to-month,No,24.27,532.51,2,Yes
CUST-1308,38,Month-to-month,Fiber optic,86.21,3315.15,3,No
CUST-1309,39,One year,Fiber optic,85.05,3232.39,3,No
CUST-1310,15,Two year,DSL,42.87,648.54,6,No
CUST-1311,54,Two year,DSL,50.86,2758.76,2,No
CUST-1312,32,Month-to-month,Fiber optic,96.45,3097.18,4,Yes
CUST-1313,46,Month-to-month,DSL,52.92,2428.83,2,Yes
CUST-1314,61,Month-to-month,DSL,52.05,3207.35,2,No
CUST-1315,52,Month-to-month,No,27.46,1466.88,0,No
CUST-1316,34,Two year,Fiber optic,95.47,3162.37,2,No
CUST-1317,35,One year,Fiber optic,101.62,3624.44,3,No
CUST-1318,70,One year,DSL,50.37,3452.08,1,No
CUST-1319,37,Month-to-month,DSL,61.83,2267.42,0,No
CUST-1320,61,Two year,DSL,44.21,2652.43,0,No
CUST-1321,49,Two year,DSL,42.49,2045.92,1,No
CUST-1322,9,Month-to-month,Fiber optic,95.6,914.73,0,No
CUST-1323,19,Month-to-month,Fiber optic,82.3,1569.78,0,No
CUST-1324,28,Month-to-month,Fiber optic,97.71,2770.01,2,No
CUST-1325,26,Month-to-month,No,25.44,693.04,2,No
CUST-1326,38,Two year,DSL,71.27,2612.51,0,No
CUST-1327,40,Month-to-month,Fiber optic,80.24,3181.71,0,Yes
CUST-1328,25,One year,Fiber optic,110.07,2789.18,2,No
CUST-1329,69,One year,No,27.26,1913.78,0,No
CUST-1330,71,Month-to-month,No,25.12,1695.69,3,Yes
CUST-1331,23,Month-to-month,No,22.1,559.8,1,Yes
CUST-1332,65,Two year,Fiber optic,101.57,6632.85,2,No
CUST-1333,22,Month-to-month,DSL,73.29,1564.24,2,No
CUST-1334,64,One year,Fiber optic,73.64,4733.39,0,No
CUST-1335,68,One year,Fiber optic,76.13,5165.38,3,No
CUST-1336,58,Month-to-month,Fiber optic,95.31,5552.58,0,No
CUST-1337,28,Two year,Fiber optic,76.71,2057.87,3,No
CUST-1338,68,Month-to-month,DSL,54.11,3661.85,1,No
CUST-1339,4,One year,No,27.2,167.84,2,No
CUST-1340,1,One year,Fiber optic,70.7,97.64,2,No
CUST-1341,26,Month-to-month,No,19.21,539.04,0,No
CUST-1342,33,Month-to-month,Fiber optic,111.85,3679.37,1,Yes
CUST-1343,27,One year,Fiber optic,99.86,2724.44,2,No
CUST-1344,42,One year,Fiber optic,83.75,3509.35,4,Yes
CUST-1345,69,Month-to-month,Fiber optic,72.04,4924.52,1,Yes
CUST-1346,71,One year,Fiber optic,96.37,6829.66,0,Yes
CUST-1347,64,One year,DSL,52.38,3425.02,2,No
CUST-1348,25,Month-to-month,DSL,44.64,1172.62,1,No
CUST-1349,4,Month-to-month,No,25.5,52.39,3,No
CUST-1350,12,Month-to-month,Fiber optic,113.84,1345.21,1,Yes
CUST-1351,58,Month-to-month,DSL,70.48,4041.63,3,No
CUST-1352,11,Month-to-month,DSL,62.44,695.82,1,No
CUST-1353,59,Two year,No,24.44,1491.82,2,No
CUST-1354,36,Month-to-month,Fiber optic,106.54,3937.03,3,Yes
CUST-1355,22,Month-to-month,No,24.3,463.23,2,No
CUST-1356,65,One year,DSL,63.43,4165.87,0,No
CUST-1357,50,Month-to-month,DSL,50.66,2532.62,0,No
CUST-1358,4,Month-to-month,Fiber optic,75.88,285.16,3,Yes
CUST-1359,52,One year,DSL,43.29,2204.32,0,No
CUST-1360,43,One year,DSL,49.87,2233.4,3,No
CUST-1361,46,One year,Fiber optic,114.68,5193.84,4,Yes
CUST-1362,4,One year,Fiber optic,98.3,368.71,4,No
CUST-1363,13,Month-to-month,No,23.06,318.14,0,No
CUST-1364,38,Two year,Fiber optic,82.07,3141.32,3,No
CUST-1365,45,Month-to-month,Fiber optic,85.3,3900.84,3,No
CUST-1366,25,Month-to-month,DSL,67.5,1643.47,0,No
CUST-1367,67,Month-to-month,Fiber optic,103.98,6997.88,4,Yes
CUST-1368,55,Month-to-month,DSL,41.63,2286.5,1,No
CUST-1369,39,Month-to-month,DSL,67.66,2640.75,1,No
CUST-1370,65,One year,Fiber optic,101.44,6570.62,0,No
CUST-1371,2,Month-to-month,DSL,49.3,106.69,1,No
CUST-1372,69,Month-to-month,Fiber optic,80.39,5539.79,1,Yes
CUST-1373,62,One year,No,18.97,1158.33,2,No
CUST-1374,46,One year,No,23.12,1037.26,2,No
CUST-1375,31,Month-to-month,Fiber optic,75.34,2354.16,1,No
CUST-1376,35,Month-to-month,No,19.38,611.76,2,Yes
CUST-1377,45,Month-to-month,DSL,69.33,3110.23,1,No
CUST-1378,54,Month-to-month,DSL,70.67,3777.79,2,Yes
CUST-1379,71,One year,Fiber optic,105.23,7465.18,0,Yes
CUST-1380,69,Month-to-month,Fiber optic,103.4,7129.09,2,No
CUST-1381,29,Month-to-month,No,24.63,757.61,1,No
CUST-1382,8,Month-to-month,Fiber optic,112.34,931.67,1,No
CUST-1383,54,Two year,Fiber optic,79.69,4317.85,2,No
CUST-1384,7,Month-to-month,Fiber optic,114.71,811.61,3,Yes
CUST-1385,23,One year,DSL,56.43,1288.35,3,No
CUST-1386,32,Month-to-month,No,25.33,800.09,2,No
CUST-1387,62,One year,DSL,56.01,3385.23,2,No
CUST-1388,45,Two year,Fiber optic,84.42,3835.59,3,Yes
CUST-1389,68,Month-to-month,Fiber optic,78.72,5366.29,1,No
CUST-1390,30,Two year,Fiber optic,97.98,2999.42,3,No
CUST-1391,39,One year,Fiber optic,86.06,3328.61,4,No
CUST-1392,5,One year,DSL,47.39,299.97,1,No
CUST-1393,67,One year,Fiber optic,104.07,6963.1,1,No
CUST-1394,22,Month-to-month,No,19.96,410.46,4,Yes
CUST-1395,28,Month-to-month,DSL,58.77,1722.83,3,No
CUST-1396,22,Two year,No,23.09,526.17,2,No
CUST-1397,29,Month-to-month,No,19.22,640.93,1,Yes
CUST-1398,43,Two year,No,21.02,912.38,1,No
CUST-1399,42,One year,Fiber optic,105.92,4489.01,2,Yes
CUST-1400,60,Month-to-month,No,18.04,1133.84,4,Yes
CUST-1401,71,One year,DSL,56.98,4031.51,3,No
CUST-1402,68,Two year,DSL,66.0,4505.3,3,No
CUST-1403,59,Month-to-month,Fiber optic,78.58,4643.93,1,Yes
CUST-1404,6,Month-to-month,Fiber optic,74.64,489.46,5,Yes
CUST-1405,28,One year,No,26.22,680.89,1,No
CUST-1406,31,Two year,Fiber optic,96.7,3027.76,2,No
CUST-1407,39,One year,Fiber optic,107.96,4256.46,3,No
CUST-1408,50,Month-to-month,Fiber optic,88.8,4405.86,3,Yes
CUST-1409,37,Month-to-month,No,22.59,791.76,6,Yes
CUST-1410,15,Two year,DSL,72.51,1004.74,2,No
CUST-1411,51,Month-to-month,No,21.76,1213.68,3,No
CUST-1412,70,Month-to-month,Fiber optic,95.81,6670.12,2,No
CUST-1413,23,Month-to-month,Fiber optic,114.82,2711.76,3,Yes
CUST-1414,25,Month-to-month,DSL,64.74,1608.1,2,No
CUST-1415,46,Month-to-month,DSL,72.8,3403.71,3,Yes
CUST-1416,23,Month-to-month,Fiber optic,98.57,2296.16,1,No
CUST-1417,10,One year,Fiber optic,91.64,1021.51,2,No
CUST-1418,32,Month-to-month,Fiber optic,102.43,3350.05,1,Yes
CUST-1419,51,Month-to-month,Fiber optic,112.23,5734.39,0,No
CUST-1420,41,Month-to-month,DSL,44.18,1826.87,5,No
CUST-1421,65,Two year,Fiber optic,106.85,6979.21,3,No
CUST-1422,65,One year,Fiber optic,99.47,6599.62,1,No
CUST-1423,40,Month-to-month,Fiber optic,82.61,3307.79,2,Yes
CUST-1424,18,Month-to-month,Fiber optic,105.88,1841.21,1,Yes
